#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A962CC
#Date Time: 2020-01-30 19:07:46.865

Time (s),Voltage (V)
-0.0511875,168.0925089944851
-0.051175,168.2198622140127
-0.0511625,168.2835388237765
-0.05115,168.3472154335403
-0.0511375,168.4108920433041
-0.051125,168.6019218725955
-0.0511125,168.6655984823594
-0.0511,168.7292750921232
-0.0510875,168.792951701887
-0.051075,168.9203049214146
-0.0510625,169.111334750706
-0.05105,169.111334750706
-0.0510375,169.3023645799975
-0.051025,169.3660411897613
-0.0510125,169.4933944092889
-0.051,169.5570710190527
-0.0509875,169.6207476288165
-0.050975,169.7481008483441
-0.0509625,169.8117774581079
-0.05095,169.9391306776355
-0.0509375,170.0028072873993
-0.050925,170.0028072873993
-0.0509125,170.0664838971631
-0.0509,170.130160506927
-0.0508875,170.2575137264546
-0.050875,170.3211903362184
-0.0508625,170.3848669459822
-0.05085,170.448543555746
-0.0508375,170.5122201655098
-0.050825,170.5758967752736
-0.0508125,170.6395733850374
-0.0508,170.6395733850374
-0.0507875,170.7032499948012
-0.050775,170.766926604565
-0.0507625,170.8942798240926
-0.05075,170.8942798240926
-0.0507375,170.9579564338565
-0.050725,170.8306032143288
-0.0507125,170.8306032143288
-0.0507,170.766926604565
-0.0506875,170.8306032143288
-0.050675,170.8306032143288
-0.0506625,170.766926604565
-0.05065,170.766926604565
-0.0506375,170.8942798240926
-0.050625,170.8942798240926
-0.0506125,170.8942798240926
-0.0506,170.8306032143288
-0.0505875,170.8942798240926
-0.050575,170.8306032143288
-0.0505625,170.8306032143288
-0.05055,170.766926604565
-0.0505375,170.766926604565
-0.050525,170.6395733850374
-0.0505125,170.6395733850374
-0.0505,170.5122201655098
-0.0504875,170.448543555746
-0.050475,170.3848669459822
-0.0504625,170.3848669459822
-0.05045,170.3211903362184
-0.0504375,170.3211903362184
-0.050425,170.2575137264546
-0.0504125,170.2575137264546
-0.0504,170.2575137264546
-0.0503875,170.2575137264546
-0.050375,170.0664838971631
-0.0503625,170.0028072873993
-0.05035,169.8754540678717
-0.0503375,169.8117774581079
-0.050325,169.6844242385803
-0.0503125,169.6844242385803
-0.0503,169.6207476288165
-0.0502875,169.4933944092889
-0.050275,169.3660411897613
-0.0502625,169.3023645799975
-0.05025,169.2386879702336
-0.0502375,169.111334750706
-0.050225,169.0476581409422
-0.0502125,168.9839815311784
-0.0502,168.8566283116508
-0.0501875,168.792951701887
-0.050175,168.7292750921232
-0.0501625,168.6019218725955
-0.05015,168.4108920433041
-0.0501375,168.3472154335403
-0.050125,168.0925089944851
-0.0501125,167.9651557749575
-0.0501,167.774125945666
-0.0500875,167.6467727261384
-0.050075,167.455742896847
-0.0500625,167.2647130675556
-0.05005,167.0100066285003
-0.0500375,166.7553001894451
-0.050025,166.5642703601537
-0.0500125,166.3732405308623
-0.05,166.118534091807
-0.0499875,165.8638276527518
-0.049975,165.5454446039327
-0.0499625,165.2907381648775
-0.04995,164.8450018965308
-0.0499375,164.2719124086565
-0.049925,163.6988229207823
-0.0499125,163.1894100426718
-0.0499,162.6163205547975
-0.0498875,161.9795544571595
-0.049875,161.2791117497575
-0.0498625,160.6423456521195
-0.04985,160.0055795544814
-0.0498375,159.3051368470795
-0.049825,158.6046941396776
-0.0498125,157.7768982127481
-0.0498,157.0764555053462
-0.0497875,156.2486595784167
-0.049775,155.4208636514872
-0.0497625,154.5293911147938
-0.04975,153.5742419683367
-0.0497375,152.6827694316434
-0.049725,151.7276202851862
-0.0497125,150.7087945289653
-0.0497,149.6899687727444
-0.0496875,148.7348196262872
-0.049675,147.9070236993577
-0.0496625,147.0155511626644
-0.04965,146.1240786259711
-0.0496375,145.168929479514
-0.049625,144.3411335525845
-0.0496125,143.4496610158911
-0.0496,142.494511869434
-0.0495875,141.5393627229768
-0.049575,140.5205369667559
-0.0495625,139.7564176495902
-0.04955,138.9922983324245
-0.0495375,138.2918556250226
-0.049525,137.5277363078569
-0.0495125,136.8272936004551
-0.0495,136.1268508930531
-0.0494875,135.3627315758874
-0.049475,134.5986122587217
-0.0494625,133.834492941556
-0.04945,133.0703736243903
-0.0494375,132.3699309169884
-0.049425,131.7331648193503
-0.0494125,131.1600753314761
-0.0494,130.5869858436018
-0.0493875,130.0138963557275
-0.049375,129.4408068678532
-0.0493625,128.9313939897428
-0.04935,128.3583045018685
-0.0493375,127.9125682335218
-0.049325,127.3394787456475
-0.0493125,126.7663892577733
-0.0493,126.193299769899
-0.0492875,125.6202102820247
-0.049275,125.1107974039142
-0.0492625,124.53770791604
-0.04925,124.0282950379295
-0.0492375,123.5825587695828
-0.049225,123.1368225012362
-0.0492125,122.7547628426533
-0.0492,122.2453499645429
-0.0491875,121.6722604766686
-0.049175,121.0354943790305
-0.0491625,120.52608150092
-0.04915,119.8893154032819
-0.0491375,119.3799025251715
-0.049125,118.7431364275334
-0.0491125,118.1700469396591
-0.0491,117.7243106713124
-0.0490875,117.214897793202
-0.049075,116.5781316955639
-0.0490625,115.9413655979258
-0.04905,115.3682761100515
-0.0490375,114.7315100124134
-0.049025,113.9673906952477
-0.0490125,113.2669479878458
-0.049,112.6301818902077
-0.0489875,111.9934157925697
-0.048975,111.229296475404
-0.0489625,110.6562069875297
-0.04895,109.892087670364
-0.0489375,109.1916449629621
-0.048925,108.4275256457964
-0.0489125,107.5997297188669
-0.0489,106.7719337919374
-0.0488875,106.0714910845355
-0.048875,105.1800185478421
-0.0488625,104.3522226209126
-0.04885,103.5244266939831
-0.0488375,102.6329541572898
-0.048825,101.8051582303603
-0.0488125,100.8500090839031
-0.0488,100.0222131569736
-0.0487875,99.19441723004412
-0.048775,98.3666213031146
-0.0487625,97.4751487664213
-0.04875,96.64735283949177
-0.0487375,95.88323352232607
-0.048725,95.05543759539657
-0.0487125,94.16396505870324
-0.0487,93.33616913177373
-0.0486875,92.44469659508042
-0.048675,91.48954744862327
-0.0486625,90.59807491192996
-0.04865,89.70660237523663
-0.0486375,88.87880644830712
-0.048625,87.92365730184999
