time	V(n001)	V(n004)	I(L4)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.466584418990146e-008	1.876567e-002	1.420569e-006	-3.499555e-010	1.416998e-008
2.933168837980291e-008	3.753134e-002	5.639254e-006	1.096048e-012	5.639264e-008
4.399753256970437e-008	5.629701e-002	1.265605e-005	1.053155e-009	1.266680e-007
5.866337675960582e-008	7.506268e-002	2.247097e-005	2.806221e-009	2.249960e-007
7.332922094950727e-008	9.382835e-002	3.508400e-005	5.260294e-009	3.513768e-007
8.799506513940873e-008	1.125940e-001	5.049515e-005	8.415374e-009	5.058102e-007
1.026609093293102e-007	1.313597e-001	6.870442e-005	1.227146e-008	6.882963e-007
1.280188124754927e-007	1.638064e-001	1.066973e-004	2.369118e-008	1.069391e-006
1.596842915035786e-007	2.043239e-001	1.657387e-004	4.572601e-008	1.662053e-006
1.991960900915205e-007	2.548812e-001	2.573852e-004	8.815607e-008	2.582849e-006
2.485585403673048e-007	3.180429e-001	3.997505e-004	1.698246e-007	4.014839e-006
3.102174752372409e-007	3.969386e-001	6.207415e-004	3.266781e-007	6.240765e-006
3.873198236695002e-007	4.955948e-001	9.639148e-004	6.275033e-007	9.703223e-006
4.837671893392866e-007	6.190040e-001	1.490622e-003	1.188227e-006	1.502758e-005
5.837671893392866e-007	7.469589e-001	2.147976e-003	2.020026e-006	2.168613e-005
6.837671893392866e-007	8.749138e-001	2.921905e-003	3.158047e-006	2.954175e-005
7.837671893392866e-007	1.002869e+000	3.811874e-003	4.646383e-006	3.859365e-005
8.837671893392866e-007	1.130824e+000	4.816328e-003	6.524171e-006	4.883027e-005
9.837671893392866e-007	1.258779e+000	5.933750e-003	8.827889e-006	6.024025e-005
1.083767189339287e-006	1.386734e+000	7.162668e-003	1.159151e-005	7.281233e-005
1.183767189339287e-006	1.514688e+000	8.501644e-003	1.484663e-005	8.653544e-005
1.283767189339286e-006	1.642643e+000	9.949280e-003	1.862263e-005	1.013986e-004
1.383767189339286e-006	1.770598e+000	1.150421e-002	2.294676e-005	1.173911e-004
1.483767189339286e-006	1.898553e+000	1.316511e-002	2.784431e-005	1.345021e-004
1.583767189339286e-006	2.026508e+000	1.493067e-002	3.333867e-005	1.527212e-004
1.683767189339286e-006	2.154463e+000	1.679963e-002	3.945147e-005	1.720379e-004
1.783767189339286e-006	2.282418e+000	1.877074e-002	4.620269e-005	1.924420e-004
1.883767189339286e-006	2.410373e+000	2.084281e-002	5.361073e-005	2.139233e-004
1.983767189339286e-006	2.538328e+000	2.301463e-002	6.169249e-005	2.364716e-004
2.083767189339286e-006	2.666283e+000	2.528507e-002	7.046349e-005	2.600772e-004
2.183767189339285e-006	2.794238e+000	2.765297e-002	7.993793e-005	2.847302e-004
2.283767189339285e-006	2.922192e+000	3.011724e-002	9.012878e-005	3.104209e-004
2.383767189339285e-006	3.050147e+000	3.267679e-002	1.010478e-004	3.371396e-004
2.483767189339285e-006	3.178102e+000	3.533055e-002	1.127058e-004	3.648770e-004
2.583767189339285e-006	3.306057e+000	3.807747e-002	1.251123e-004	3.936236e-004
2.683767189339285e-006	3.434012e+000	4.091654e-002	1.382760e-004	4.233702e-004
2.783767189339285e-006	3.561967e+000	4.384675e-002	1.522048e-004	4.541076e-004
2.983767189339285e-006	3.817877e+000	4.997666e-002	1.823840e-004	5.185184e-004
3.183767189339284e-006	4.073786e+000	5.645954e-002	2.156958e-004	5.867847e-004
3.383767189339284e-006	4.329696e+000	6.328797e-002	2.521744e-004	6.588366e-004
3.583767189339284e-006	4.585606e+000	7.045481e-002	2.918437e-004	7.346056e-004
3.783767189339284e-006	4.841515e+000	7.795312e-002	3.347188e-004	8.140247e-004
4.083767189339283e-006	5.225379e+000	8.980750e-002	4.050560e-004	9.398537e-004
4.383767189339283e-006	5.609244e+000	1.023709e-001	4.826162e-004	1.073532e-003
4.683767189339283e-006	5.993108e+000	1.156224e-001	5.673661e-004	1.214849e-003
4.983767189339282e-006	6.376972e+000	1.295421e-001	6.592482e-004	1.363601e-003
5.540910046482141e-006	7.089862e+000	1.573489e-001	8.506026e-004	1.661576e-003
6.098052903624999e-006	7.802752e+000	1.870239e-001	1.063637e-003	1.980586e-003
6.655195760767858e-006	8.515642e+000	2.185670e-001	1.298351e-003	2.320633e-003
7.212338617910716e-006	9.228531e+000	2.519783e-001	1.554745e-003	2.681716e-003
7.769481475053574e-006	9.941420e+000	2.872577e-001	1.832818e-003	3.063835e-003
8.326624332196432e-006	1.065431e+001	3.244052e-001	2.132571e-003	3.466990e-003
8.883767189339288e-006	1.136720e+001	3.634210e-001	2.454004e-003	3.891181e-003
