v1	V(n002)*I(V1)	I(V1)
0.000000000000000e+000	0.000000e+000	7.603167e-001
1.000000000000000e-004	7.603148e-005	7.603148e-001
2.000000000000000e-004	1.520626e-004	7.603129e-001
3.000000000000000e-004	2.280933e-004	7.603110e-001
4.000000000000000e-004	3.041236e-004	7.603091e-001
5.000000000000000e-004	3.801536e-004	7.603072e-001
6.000000000000001e-004	4.561832e-004	7.603053e-001
7.000000000000001e-004	5.322123e-004	7.603034e-001
8.000000000000002e-004	6.082412e-004	7.603015e-001
9.000000000000002e-004	6.842696e-004	7.602996e-001
1.000000000000000e-003	7.602977e-004	7.602977e-001
1.100000000000000e-003	8.363253e-004	7.602957e-001
1.200000000000000e-003	9.123527e-004	7.602938e-001
1.300000000000000e-003	9.883795e-004	7.602919e-001
1.400000000000000e-003	1.064406e-003	7.602900e-001
1.500000000000001e-003	1.140432e-003	7.602881e-001
1.600000000000001e-003	1.216458e-003	7.602862e-001
1.700000000000001e-003	1.292483e-003	7.602843e-001
1.800000000000001e-003	1.368508e-003	7.602825e-001
1.900000000000001e-003	1.444533e-003	7.602805e-001
2.000000000000001e-003	1.520557e-003	7.602786e-001
2.100000000000000e-003	1.596581e-003	7.602767e-001
2.200000000000000e-003	1.672605e-003	7.602748e-001
2.300000000000000e-003	1.748628e-003	7.602729e-001
2.400000000000000e-003	1.824651e-003	7.602710e-001
2.500000000000000e-003	1.900673e-003	7.602691e-001
2.599999999999999e-003	1.976695e-003	7.602672e-001
2.699999999999999e-003	2.052716e-003	7.602653e-001
2.799999999999999e-003	2.128737e-003	7.602634e-001
2.899999999999999e-003	2.204758e-003	7.602615e-001
2.999999999999999e-003	2.280779e-003	7.602596e-001
3.099999999999999e-003	2.356799e-003	7.602577e-001
3.199999999999998e-003	2.432818e-003	7.602558e-001
3.299999999999998e-003	2.508838e-003	7.602538e-001
3.399999999999998e-003	2.584857e-003	7.602519e-001
3.499999999999998e-003	2.660875e-003	7.602500e-001
3.599999999999998e-003	2.736893e-003	7.602481e-001
3.699999999999998e-003	2.812911e-003	7.602462e-001
3.799999999999997e-003	2.888928e-003	7.602443e-001
3.899999999999997e-003	2.964945e-003	7.602424e-001
3.999999999999998e-003	3.040962e-003	7.602405e-001
4.099999999999998e-003	3.116978e-003	7.602386e-001
4.199999999999998e-003	3.192994e-003	7.602367e-001
4.299999999999998e-003	3.269010e-003	7.602348e-001
4.399999999999999e-003	3.345025e-003	7.602329e-001
4.499999999999999e-003	3.421039e-003	7.602310e-001
4.599999999999999e-003	3.497054e-003	7.602291e-001
4.699999999999999e-003	3.573068e-003	7.602272e-001
4.800000000000000e-003	3.649082e-003	7.602253e-001
4.900000000000000e-003	3.725095e-003	7.602234e-001
5.000000000000000e-003	3.801107e-003	7.602215e-001
5.100000000000000e-003	3.877120e-003	7.602196e-001
5.200000000000001e-003	3.953132e-003	7.602177e-001
5.300000000000001e-003	4.029143e-003	7.602158e-001
5.400000000000001e-003	4.105155e-003	7.602139e-001
5.500000000000001e-003	4.181166e-003	7.602119e-001
5.600000000000002e-003	4.257176e-003	7.602100e-001
5.700000000000002e-003	4.333186e-003	7.602081e-001
5.800000000000002e-003	4.409196e-003	7.602062e-001
5.900000000000003e-003	4.485206e-003	7.602043e-001
6.000000000000003e-003	4.561214e-003	7.602024e-001
6.100000000000003e-003	4.637223e-003	7.602005e-001
6.200000000000003e-003	4.713231e-003	7.601986e-001
6.300000000000004e-003	4.789239e-003	7.601967e-001
6.400000000000004e-003	4.865246e-003	7.601948e-001
6.500000000000004e-003	4.941254e-003	7.601929e-001
6.600000000000004e-003	5.017260e-003	7.601910e-001
6.700000000000005e-003	5.093267e-003	7.601891e-001
6.800000000000005e-003	5.169273e-003	7.601871e-001
6.900000000000005e-003	5.245278e-003	7.601852e-001
7.000000000000005e-003	5.321284e-003	7.601833e-001
7.100000000000006e-003	5.397288e-003	7.601814e-001
7.200000000000006e-003	5.473292e-003	7.601795e-001
7.300000000000006e-003	5.549297e-003	7.601776e-001
7.400000000000006e-003	5.625300e-003	7.601757e-001
7.500000000000007e-003	5.701303e-003	7.601738e-001
7.600000000000007e-003	5.777306e-003	7.601719e-001
7.700000000000007e-003	5.853309e-003	7.601700e-001
7.800000000000007e-003	5.929311e-003	7.601681e-001
7.900000000000008e-003	6.005313e-003	7.601662e-001
8.000000000000007e-003	6.081315e-003	7.601643e-001
8.100000000000007e-003	6.157316e-003	7.601624e-001
8.200000000000006e-003	6.233316e-003	7.601605e-001
8.300000000000005e-003	6.309316e-003	7.601586e-001
8.400000000000005e-003	6.385316e-003	7.601567e-001
8.500000000000004e-003	6.461316e-003	7.601548e-001
8.600000000000004e-003	6.537315e-003	7.601529e-001
8.700000000000003e-003	6.613314e-003	7.601510e-001
8.800000000000002e-003	6.689312e-003	7.601491e-001
8.900000000000002e-003	6.765310e-003	7.601472e-001
9.000000000000001e-003	6.841307e-003	7.601452e-001
9.100000000000000e-003	6.917305e-003	7.601433e-001
9.200000000000000e-003	6.993301e-003	7.601414e-001
9.299999999999999e-003	7.069298e-003	7.601395e-001
9.399999999999999e-003	7.145294e-003	7.601376e-001
9.499999999999998e-003	7.221289e-003	7.601357e-001
9.599999999999997e-003	7.297285e-003	7.601338e-001
9.699999999999997e-003	7.373280e-003	7.601319e-001
9.799999999999996e-003	7.449274e-003	7.601300e-001
9.899999999999996e-003	7.525268e-003	7.601281e-001
9.999999999999995e-003	7.601262e-003	7.601262e-001
1.009999999999999e-002	7.677255e-003	7.601243e-001
1.019999999999999e-002	7.753248e-003	7.601224e-001
1.029999999999999e-002	7.829241e-003	7.601205e-001
1.039999999999999e-002	7.905233e-003	7.601185e-001
1.049999999999999e-002	7.981225e-003	7.601166e-001
1.059999999999999e-002	8.057216e-003	7.601147e-001
1.069999999999999e-002	8.133208e-003	7.601128e-001
1.079999999999999e-002	8.209198e-003	7.601109e-001
1.089999999999999e-002	8.285189e-003	7.601091e-001
1.099999999999999e-002	8.361179e-003	7.601072e-001
1.109999999999999e-002	8.437168e-003	7.601053e-001
1.119999999999999e-002	8.513157e-003	7.601033e-001
1.129999999999999e-002	8.589147e-003	7.601014e-001
1.139999999999999e-002	8.665135e-003	7.600995e-001
1.149999999999999e-002	8.741123e-003	7.600976e-001
1.159999999999999e-002	8.817110e-003	7.600957e-001
1.169999999999999e-002	8.893097e-003	7.600938e-001
1.179999999999998e-002	8.969085e-003	7.600919e-001
1.189999999999998e-002	9.045071e-003	7.600900e-001
1.199999999999998e-002	9.121057e-003	7.600881e-001
1.209999999999998e-002	9.197043e-003	7.600862e-001
1.219999999999998e-002	9.273028e-003	7.600843e-001
1.229999999999998e-002	9.349013e-003	7.600824e-001
1.239999999999998e-002	9.424998e-003	7.600805e-001
1.249999999999998e-002	9.500982e-003	7.600785e-001
1.259999999999998e-002	9.576966e-003	7.600766e-001
1.269999999999998e-002	9.652949e-003	7.600747e-001
1.279999999999998e-002	9.728932e-003	7.600728e-001
1.289999999999998e-002	9.804915e-003	7.600709e-001
1.299999999999998e-002	9.880897e-003	7.600690e-001
1.309999999999998e-002	9.956879e-003	7.600671e-001
1.319999999999998e-002	1.003286e-002	7.600652e-001
1.329999999999998e-002	1.010884e-002	7.600633e-001
